Время начала - сс.мс	Время окончания - сс.мс	text@iys1984f	text@vnp1986f	words@iys1984f	words@vnp1986f	gesture@iys1984f	gesture@vnp1986f	gestMeaning@iys1984f	gestMeaning@vnp1986f	intonation@iys1984f	intonation@vnp1986f	gram@iys1984f	gram@vnp1986f	pos@iys1984f	pos@vnp1986f	
105.356	105.662	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		когда						нарратив		_		SCONJ	
105.662	105.968	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		я						нарратив		Case=Nom|Number=Sing|Person=1		PRON	
105.968	106.274	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		общаюсь						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid		VERB	
106.274	106.58	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		с						нарратив		_		ADP	
106.58	106.886	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		людьми						нарратив		Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur		NOUN	
106.886	107.192	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		м						нарратив		_		INTJ	
107.192	107.498	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
107.498	107.804	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		вот						нарратив		_		PART	
107.804	108.11	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		т...						нарратив		_		X	
108.11	108.416	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		твоей						нарратив		Case=Gen|Gender=Fem|Number=Sing		DET	
108.416	108.722	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		профессии						нарратив		Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing		NOUN	
108.722	109.028	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		или						нарратив		_		CCONJ	
109.028	109.334	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		вот						нарратив		_		PART	
109.334	109.64	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
109.64	109.946	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		что-то						нарратив		Case=Nom		PRON	
